date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:25	33357/33357	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fe-824d%22	http://laread.evmet.net/html/live-preview/typography-3.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/typography-3.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:25	31823/31823	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fe-7c4f%22	http://laread.evmet.net/html/live-preview/typography-4.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/typography-4.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:26	27061/27061	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fb-69b5%22	http://laread.evmet.net/html/live-preview/shortcode-1.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/shortcode-1.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:26	36680/36680	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fc-8f48%22	http://laread.evmet.net/html/live-preview/shortcode-2.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/shortcode-2.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:27	32612/32612	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fc-7f64%22	http://laread.evmet.net/html/live-preview/shortcode-3.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/shortcode-3.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:27	28501/28501	---MCZ	200	added ('OK')	text/html	etag:W/%22580873fd-6f55%22	http://laread.evmet.net/html/live-preview/shortcode-4.html	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/shortcode-4.html	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:23:38	82882/82882	---M--	200	added ('OK')	image/jpeg	etag:%2258087734-143c2%22	http://laread.evmet.net/html/live-preview/assets/img/banner-40.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-40.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:03	223612/223612	---M--	200	added ('OK')	image/jpeg	etag:%225808773b-3697c%22	http://laread.evmet.net/html/live-preview/assets/img/banner-41.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-41.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:03	213133/213133	---M--	200	added ('OK')	image/jpeg	etag:%2258087752-3408d%22	http://laread.evmet.net/html/live-preview/assets/img/banner-43.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-43.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:04	872/872	---M--	200	added ('OK')	image/png	etag:%22368-53f47472e5540%22	http://laread.evmet.net/html/live-preview/assets/img/logo-black.png	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/logo-black.png	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:24:08	29387/29387	---M--	200	added ('OK')	image/jpeg	etag:%225808775b-72cb%22	http://laread.evmet.net/html/live-preview/assets/img/banner-45.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-45.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
